Name,Season,MinTemp,MaxTemp,Minhumid,Maxhumid,Soil
Blackpepper,summer,23,32,50,60,reddish brown
Cinnamon,monsoon,20,30,60,70,black
Alovera,summer,18,30,10,40,light brown
Alovera,monsoon,18,30,10,40,light brown
Ginger,monsoon,21,25,60,70,black
Sandalwood,spring,12,35,50,60,red
Ashwagandha,winter,20,35,90,100,black
Red Clover,spring,20,30,60,70,black
Burdock,spring,20,25,75,80,black
Bayberry,spring,25,28,85,90,sandy
Basil,summer,27,32,40,60,black
Fennel,autum,15,25,50,65,black
Chives,spring,4,30,40,60,brown
Cilantro,spring,10,30,50,85,black
Apple mint,spring,-23,-18,78,92,red
Thyme,spring,20,30,55,78,black
Golden orengno,spring,18,21,50,66,brown
Rosemary,spring,20,26,45,55,black
Variegated Sage,spring,15,21,25,40,black
Potato,winter,40,80,85,90,light brown
Tomato,summer,21,24,50,70,red
Brinjal,summer,18,21,60,70,light yellow
Brinjal,winter,18,21,60,70,light yellow
Cabbage,rainy,45,80,90,100,light brown
Radish,rainy,4,35,95,100,light brown
Radish,summer,4,35,95,100,light brown
Onion,winter,15,35,70,80,red
Onion,rainy,15,35,70,80,red
Bitter Gourd,rainy,24,27,65,85,light brown
Bitter Gourd,summer,24,27,65,85,light brown
Lady’s finger,summer,20,40,90,95,red
Lady’s finger,winter,20,40,90,95,red
Cauliflower,rainy,4,7,90,100,light brown
Pumpkin,winter,10,13,50,70,light brown
Pumpkin,rainy,10,13,50,70,light brown
Carrot,rainy,-9,25,98,99,black
Ginger,monsoon ,10,40,82,90,light brown
Chilli,rainy,15,30,70,90,black
Chilli,summer,15,30,70,90,black
Capsicum,summer,15,26,90,95,dark brown
Spinach,summer,5,24,90,95,light brown
Mushroom,winter,10,33,80,90,black
Sweet Potato,monsoon,18,35,85,90,brown
Beetroot,rainy ,18,27,95,100,light brown
Cucumber,summer,23,30,70,90,light brown
Broccoli,winter,-33,38,90,95,black
Asparagus,summer ,7,30,90,98,light yellow
Celery,winter,21,30,90,95,light black
Green bean,summer,18,30,8,13,brown
Chickpea,rainy,-8,35,90,95,light brown
Lentil,winter,18,30,75,80,black
Peas,rainy ,5,22,83,85,black
Garlic,common,-34,16,70,80,brown
Coriander,rainy,20,25,60,70,brown
Drumstick,rainy,25,30,50,75,brown
Drumstick,summer,25,30,50,75,brown
Bottle Gourd,mansoon,18,27,93,98,brown
Bottle Gourd,summer,18,27,93,98,brown
Leek,winter,0,17,83,95,black
Cluster Beans,rainy,30,40,45,52,brown
Cluster Beans,summer,30,40,45,52,brown
Pointed Gourd,summer,30,35,68,85,brown
Yam,summer,30,35,30,50,light brown
Artichoke,common,-10,29,90,95,light brown
Ash Gourd,common,22,35,50,75,brown
Bok Choy,winter,12,21,90,100,black
Brussels Sprout,winter,7,24,90,95,brown
Chayote,summer,13,18,85,95,light brown
Endive,summer,0,23,50,70,black
Kohlrabi,summer,5,24,70,80,brown
Zucchini,summer,10,35,85,90,brown
Turnip,monsoon,4,12,90,95,black
Swiss Chard,summer,9,23,98,100,light black
Swiss Chard,winter,9,23,98,100,light black
Ridge Gourd,summer,-9,36,90,95,brown
Ridge Gourd,winter,-9,36,90,95,brown
Parsnip,winter,10,12,90,95,black
Luffa,summer,30,40,70,85,light brown
Zucchini,summer,15,35,80,85,black
Xigua,summer,20,32,60,80,light red
Yarrow,summer,15,35,75,80,light brown
Watercress,summer&rainy,10,15,90,95,black
Wasabi,spring,8,20,60,70,black
Baby corn,summer,23,30,80,90,black
Velvet Bean, summer,15,38,90,95,light brown
